LEFT_ARM_1_x,LEFT_ARM_1_y,LEFT_ARM_2_x,LEFT_ARM_2_y,LEFT_ARM_3_x,LEFT_ARM_3_y,LEFT_ARM_4_x,LEFT_ARM_4_y,LEFT_ARM_5_x,LEFT_ARM_5_y,LEFT_ARM_6_x,LEFT_ARM_6_y
1.0,0.0,0.0,0.0698387518998519,0.4714653060222656,0.8325176505522743,0.5714923052267278,0.7408121402979579,0.7697978524803891,0.9950660503787968,0.7114362566108342,1.0
1.0,0.0,0.0,0.1214899843213166,0.4455147894339823,0.8989198972112309,0.7724769795370129,1.0,0.7723353396333917,0.9784205849224248,0.6975526534405769,0.9825468520939804
1.0,0.0,0.0,0.4841507351495385,0.3122543569972039,0.9582743270474436,0.6022340392517659,0.9789184963476956,0.6851936027397004,0.9856042668621132,0.6202516625684326,1.0
1.0,0.0,0.0,0.5309147010706372,0.2471474620540857,0.9309747561556462,0.4933474874626139,0.9574532502226172,0.8181696815966891,0.9927722669759158,0.554668171081219,1.0
1.0,0.0,0.0,0.5179916257714722,0.3225484871569619,0.9557624302041696,0.6070562892061622,0.9698139653522864,0.7378030333405013,0.9894165411775266,0.6258205729157168,1.0
0.0,0.704943371586783,0.952428333080538,1.0,0.9912381819101048,0.2388337106852337,1.0,0.0482252026267223,0.9319894837959412,0.0,0.9037999898882636,0.0625673274857314
0.0,1.0,0.829008558704829,0.9416449365850558,1.0,0.2486360595339397,0.998837384608248,0.059101621167282,0.9438107884523202,0.0,0.9282048754464908,0.0632527562364288
1.0,0.0,0.0,0.5148086308586441,0.2349328526296758,0.9588720553675698,0.7003896501258847,0.9739724238924736,0.8721343021133939,0.9915281669856602,0.7329145608233839,1.0
0.5476528596999956,0.0,0.0,0.5317067142176165,0.4714690515664132,0.957793824261578,0.889191991915296,0.9545032429126996,1.0,0.9768725192640736,0.9111475128305055,1.0
0.0,0.1804926554614932,1.0,1.0,0.63115424341539,0.2068893049252181,0.6665034859700429,0.0586531011016411,0.513237361565387,0.0,0.4636985711826476,0.0587228861156703
1.0,0.0,0.0,0.4720933195379583,0.4280231361975652,0.9610306380875911,0.745017936993373,0.9697783796096124,0.802753994266428,0.9857672455062096,0.6947995773797189,1.0
1.0,0.0,0.0,0.4311122548748144,0.4587410981351451,0.9338316151282708,0.7628727299902879,0.9347870094296906,0.8748935968546626,0.9782232458183466,0.7657909558693556,1.0
0.0724853118142561,0.0,0.0,0.5264187576101732,0.5064622118402129,0.9670715408324704,0.8766546329723228,0.9690599695708636,1.0,0.9810985333975772,0.8986338217597512,1.0
0.0,1.0,0.9830594588663528,0.5941927493959258,0.9030105121043048,0.1010766563932745,1.0,0.011216445504213,0.7547652726062708,0.0,0.6698097230405179,0.0259195114295311
1.0,0.0,0.0,0.4194100439573046,0.4376888423486807,0.9221423841232274,0.8519825037904775,0.875121104199148,0.9565452621704462,0.9400845773997925,0.6859910337380193,1.0
1.0,0.0,0.0,0.5353654601646356,0.0599578005211035,0.9619614667647404,0.4946312050879656,0.9684778469833876,0.6391756834888908,0.9826754892350692,0.5033301546062758,1.0
1.0,0.0,0.0,0.4213226617928393,0.3538301521590895,0.9521844355514948,0.5363191139092295,0.9523867864369684,0.6615841352280338,0.9747448018919556,0.5840346611377851,1.0
1.0,0.0,0.0,0.5502456323385758,0.2405895948151859,0.9425225321430918,0.6344424408523405,0.965084445359529,0.7435622738743648,0.983937193103625,0.6299447485748457,1.0
0.0,0.3605031635556082,1.0,1.0,0.9275332931597328,0.2304597161396963,0.9093552136674026,0.052545221000981,0.7752244057495852,0.0,0.7458481723390462,0.0710968485813486
0.0,1.0,1.0,0.9331460466624458,0.9915888747826272,0.2211658736356257,0.9842542114303394,0.0476052070175294,0.8928146970650678,0.0,0.8741403774551119,0.0720423465236102
0.0,0.8647036075950049,0.8004386334090888,1.0,0.9841035137435352,0.240090720387958,1.0,0.0607674177866676,0.935347867156739,0.0,0.9191259130402252,0.0596159087065504
1.0,0.0,0.0,0.1872150999305582,0.4836021353140535,0.92489427480685,0.8122628546561712,0.945325403691758,0.775756257060337,1.0,0.7002214598466179,0.9948318850107836
1.0,0.0,0.0,0.5307797896847659,0.2250248544240874,0.94433410122664,0.6187118307058657,0.9837906874037646,0.6868863324338399,0.992975964541632,0.5797850684088435,1.0
