RIGHT_ARM_1_x,RIGHT_ARM_1_y,RIGHT_ARM_1_z,RIGHT_ARM_2_x,RIGHT_ARM_2_y,RIGHT_ARM_2_z,RIGHT_ARM_3_x,RIGHT_ARM_3_y,RIGHT_ARM_3_z,RIGHT_ARM_4_x,RIGHT_ARM_4_y,RIGHT_ARM_4_z,RIGHT_ARM_5_x,RIGHT_ARM_5_y,RIGHT_ARM_5_z,RIGHT_ARM_6_x,RIGHT_ARM_6_y,RIGHT_ARM_6_z,label
1045.528335571289,763.3874988555908,-0.1210227832198143,1047.5551986694336,881.4674377441406,-0.1478046029806137,1076.9725799560547,988.6259150505066,-0.1190631315112114,1102.573127746582,998.9113712310792,-0.1417823880910873,1103.9673614501953,993.8715434074402,-0.1219168975949287,1093.7462997436523,991.4810514450072,-0.1108118668198585,1
1046.759033203125,762.977249622345,-0.1166722699999809,1048.5162734985352,882.5874638557434,-0.1449879109859466,1073.477783203125,989.0671277046204,-0.1186494082212448,1098.651351928711,998.8668251037598,-0.140535831451416,1100.7600402832031,994.4283056259156,-0.119095541536808,1091.8107604980469,992.154779434204,-0.1098775044083595,1
1040.7115173339844,756.0685443878174,-0.1122519448399543,1043.9182662963867,878.0789065361023,-0.1417172998189926,1072.6951217651367,986.0408878326416,-0.1123738214373588,1096.161117553711,996.8380451202391,-0.1329222470521927,1097.7803421020508,991.66020154953,-0.1120129898190498,1089.1977310180664,988.3534240722656,-0.1038111224770546,1
1030.5818939208984,753.0944466590881,-0.1102805510163307,1041.9776916503906,873.4191370010376,-0.1433247774839401,1071.8196487426758,982.06533908844,-0.1062304601073265,1095.3084182739258,996.3038778305054,-0.127728521823883,1095.8579635620115,989.2065596580504,-0.1056654155254364,1086.694564819336,985.8213758468628,-0.0972318649291992,1
1024.7148513793943,753.8628029823303,-0.1184932291507721,1034.9765396118164,874.6635961532593,-0.1512755751609802,1065.8543014526367,978.234887123108,-0.1176455840468406,1089.7423553466797,993.0847764015198,-0.1418645530939102,1090.638771057129,985.6965565681458,-0.1192635595798492,1082.3443222045898,981.7369079589844,-0.108589194715023,1
1020.9607315063477,756.3036346435547,-0.1238884925842285,1038.662109375,883.7579584121704,-0.1566734164953231,1070.3290557861328,986.880054473877,-0.1308258771896362,1097.7418899536133,994.8790454864502,-0.1564352065324783,1099.163589477539,989.0042352676392,-0.1323754638433456,1088.7871170043943,986.7077922821044,-0.12156493216753,1
1014.6290588378906,750.8597373962402,-0.1201242506504058,1033.7133407592771,874.7297072410583,-0.1600552648305893,1068.5841751098633,982.907853126526,-0.1398909986019134,1095.9804153442385,991.676423549652,-0.1660460829734802,1097.4748992919922,986.6350507736206,-0.1409956365823745,1087.2699737548828,984.6011209487916,-0.130267396569252,1
1018.2558059692384,753.5693907737732,-0.1091959401965141,1033.8885498046875,874.8608994483948,-0.1451651751995086,1070.9299850463867,981.5797090530396,-0.1171445101499557,1097.2673034667969,993.7134432792664,-0.1413703560829162,1098.8044738769531,987.3462438583374,-0.1168849691748619,1088.9036178588867,984.905412197113,-0.1076243594288826,1
1038.5625457763672,752.3251247406006,-0.1100680530071258,1048.381576538086,880.6451368331909,-0.1370399296283722,1077.3603057861328,986.3826441764832,-0.0958112850785255,1100.1649475097656,995.1858472824096,-0.1163367107510566,1102.386817932129,989.1940069198608,-0.0917583405971527,1092.0673370361328,986.7995238304138,-0.0857209935784339,1
1048.293800354004,749.445333480835,-0.1035041958093643,1053.0804061889648,871.3975024223328,-0.1302785575389862,1078.2503128051758,983.8284516334534,-0.0932148024439811,1101.6162872314453,994.8064970970154,-0.1131180897355079,1103.4028244018557,988.3832287788392,-0.0884297266602516,1092.7792739868164,984.8344731330872,-0.0830020681023597,1
