FACE_NECK_1_x,FACE_NECK_1_y,FACE_NECK_1_z,FACE_NECK_2_x,FACE_NECK_2_y,FACE_NECK_2_z,FACE_NECK_3_x,FACE_NECK_3_y,FACE_NECK_3_z,FACE_NECK_4_x,FACE_NECK_4_y,FACE_NECK_4_z,FACE_NECK_5_x,FACE_NECK_5_y,FACE_NECK_5_z,FACE_NECK_6_x,FACE_NECK_6_y,FACE_NECK_6_z,FACE_NECK_7_x,FACE_NECK_7_y,FACE_NECK_7_z,FACE_NECK_8_x,FACE_NECK_8_y,FACE_NECK_8_z,FACE_NECK_9_x,FACE_NECK_9_y,FACE_NECK_9_z,FACE_NECK_10_x,FACE_NECK_10_y,FACE_NECK_10_z,FACE_NECK_11_x,FACE_NECK_11_y,FACE_NECK_11_z,label
1110.7245254516602,777.9960536956787,-0.107542760670185,1125.17578125,773.6167573928833,-0.0913318768143653,1126.2107849121094,774.8386216163635,-0.0913385972380638,1127.1147537231443,775.8852624893188,-0.0913784652948379,1122.443618774414,765.4225873947144,-0.1085900291800499,1121.1722946166992,760.7784605026245,-0.1085727363824844,1119.1617965698242,755.3205299377441,-0.1085435897111892,1118.4769821166992,764.4835782051086,-0.0022074016742408,1107.6987075805664,737.2986602783203,-0.0770863518118858,1096.0235595703125,780.9547662734985,-0.0718020722270011,1093.2077407836914,772.2352480888367,-0.0934767350554466,1
1110.7016372680664,778.0568861961365,-0.1034422144293785,1124.3792724609375,773.0481505393982,-0.0885175541043281,1125.3180313110352,774.0049910545349,-0.0885192081332206,1126.2255477905271,774.7561597824097,-0.0885518491268158,1121.8223190307615,765.6278085708618,-0.1045844331383705,1120.191535949707,760.8571887016296,-0.104568175971508,1117.9365921020508,755.344090461731,-0.1045345589518547,1117.4695587158203,763.060290813446,-0.0042615393176674,1105.8384704589844,737.0767021179199,-0.0738923475146293,1097.3206329345703,780.9847640991211,-0.0693607255816459,1093.3209228515625,772.6731777191162,-0.0895378440618515,1
1113.629150390625,776.6234278678894,-0.0621524788439273,1125.8103561401367,768.7460374832153,-0.051656637340784,1126.3648223876953,768.7616157531738,-0.0516676530241966,1126.867561340332,768.6176133155823,-0.0517015308141708,1123.7083053588867,763.7600898742676,-0.0695767328143119,1122.1759414672852,759.903244972229,-0.0695471987128257,1119.755630493164,754.8676657676697,-0.0695079192519187,1115.8101654052734,752.5347232818604,0.0141880409792065,1105.4338073730469,734.0047574043274,-0.064870610833168,1099.786605834961,778.722825050354,-0.0345593132078647,1096.0424423217771,772.3040628433228,-0.0574721880257129,1
1100.8583450317385,765.3343963623047,0.0162758361548185,1110.981903076172,752.8048324584961,0.0205654986202716,1110.6272506713867,751.1981463432312,0.0205397196114063,1110.080795288086,749.2807960510254,0.02050800062716,1110.3430938720703,752.0835971832275,-0.003658496774733,1109.4815826416016,750.214204788208,-0.0036416177172213,1108.3650970458984,748.1422305107117,-0.0036494098603725,1093.4425735473633,730.9172344207764,0.058467723429203,1093.5369873046875,734.9592804908752,-0.0505921766161918,1085.3145217895508,766.2578916549683,0.0339368917047977,1085.016860961914,764.2059373855591,0.0022622842807322,1
1098.8628387451172,763.1515717506409,0.0078678354620933,1107.9911041259766,750.019862651825,0.0130438692867755,1107.586441040039,748.4365439414978,0.0130146155133843,1106.9799041748047,746.588716506958,0.012988643720746,1107.1479034423828,749.3068027496338,-0.0120709231123328,1106.2123489379885,747.4848532676697,-0.0120604429394006,1105.0622177124023,745.479633808136,-0.0120644615963101,1090.1340866088867,729.433114528656,0.0544387139379978,1089.6324920654297,732.8927779197693,-0.0584440790116786,1083.5405731201172,765.2633285522461,0.0268198903650045,1082.9284286499023,763.440670967102,-0.0059706126339733,1
1086.5195846557615,766.3545155525208,-0.0085722841322422,1096.1671829223633,752.8042531013489,-0.0038976029027253,1095.706672668457,751.223509311676,-0.0039201844483613,1095.1585006713867,749.3810892105103,-0.0039414325729012,1095.9383010864258,751.8767023086548,-0.0275561641901731,1095.3374862670898,749.8860955238342,-0.0275413058698177,1094.6144485473633,747.7046871185303,-0.0275450889021158,1079.428367614746,731.5743541717529,0.0367856957018375,1079.7739791870115,734.7372579574585,-0.069083921611309,1072.1205139160156,767.670750617981,0.0103484261780977,1072.3249053955078,765.762734413147,-0.0205398872494697,1
1078.454475402832,766.9717884063721,-0.001787033630535,1088.2788848876953,754.5047950744629,0.003384712152183,1087.8855514526367,752.6160264015198,0.0033630284015089,1087.4206924438477,750.4601097106934,0.0033504776656627,1088.2682418823242,754.0391206741333,-0.0205847807228565,1087.866325378418,752.0413684844971,-0.0205826461315155,1087.3877334594729,749.8696160316467,-0.0205930601805448,1073.3436584472656,731.457839012146,0.0438622087240219,1073.6402893066406,735.5760383605957,-0.0635598972439765,1063.117446899414,766.8715596199036,0.0167518965899944,1063.3982849121094,765.4783987998962,-0.0146221620962023,1
1081.5111923217771,763.8277459144592,0.0051693809218704,1090.0865936279297,751.22962474823,0.0102253081277012,1089.7751998901367,749.7440886497498,0.0102052921429276,1089.4071578979492,748.0099439620972,0.0101829385384917,1089.6913146972656,750.2517986297607,-0.0125630823895335,1089.1248321533203,748.3164238929749,-0.0125622618943452,1088.4722900390625,746.1893463134766,-0.0125687569379806,1074.2926025390625,730.7627391815186,0.0512628704309463,1074.3284225463867,733.8090634346008,-0.0506406165659427,1067.417221069336,765.9643507003784,0.0238193795084953,1067.1742630004885,763.8989424705505,-0.0058916579000651,1
1106.3434982299805,755.9495830535889,0.0041728210635483,1114.2354583740234,741.4298629760742,0.0083220526576042,1113.541488647461,739.5356225967407,0.0083147389814257,1112.7415466308594,737.482316493988,0.0083049796521663,1114.5477676391602,741.4146709442139,-0.0135823842138051,1114.1553497314453,739.7080779075623,-0.0135839097201824,1113.6411666870115,737.9149675369263,-0.0136044789105653,1096.1338806152344,721.3956928253174,0.0456191822886467,1099.350700378418,727.5671982765198,-0.0522926896810531,1090.997657775879,756.4926338195801,0.0216689743101596,1091.6204452514648,755.6609988212585,-0.0068431156687438,1
1121.3615798950195,740.1667356491089,0.0120073426514863,1127.625732421875,725.388879776001,0.0165616199374198,1126.692008972168,723.8055610656738,0.0165587328374385,1125.5718612670898,722.0952343940735,0.0165463909506797,1127.0597076416016,725.1568794250488,-0.0057469820603728,1125.7884979248047,723.5443997383118,-0.0057582454755902,1124.2539596557615,721.802659034729,-0.0057784272357821,1106.3136291503906,708.7263751029968,0.0550729371607303,1106.8006896972656,712.2191905975342,-0.0446910448372364,1107.1277618408203,744.5016145706177,0.0300197526812553,1106.4068984985352,742.5416493415833,0.0010150059824809,1
