RIGHT_ARM_1_x,RIGHT_ARM_1_y,RIGHT_ARM_1_z,RIGHT_ARM_2_x,RIGHT_ARM_2_y,RIGHT_ARM_2_z,RIGHT_ARM_3_x,RIGHT_ARM_3_y,RIGHT_ARM_3_z,RIGHT_ARM_4_x,RIGHT_ARM_4_y,RIGHT_ARM_4_z,RIGHT_ARM_5_x,RIGHT_ARM_5_y,RIGHT_ARM_5_z,RIGHT_ARM_6_x,RIGHT_ARM_6_y,RIGHT_ARM_6_z
1112.8971862792969,518.9671790599823,-0.028601907193660736,1029.9001693725586,550.0250673294067,-0.1276276707649231,1022.4767303466797,462.7058708667755,-0.27781838178634644,1014.2707443237305,445.6922113895416,-0.3081499934196472,1025.346336364746,440.7827389240265,-0.2975651025772095,1029.7364044189453,447.7432644367218,-0.2795023024082184
1114.4407653808594,513.4530508518219,-0.006521354895085096,1025.1591110229492,508.7686586380005,-0.05928540974855423,1026.273193359375,416.81724429130554,-0.16166847944259644,1024.2642974853516,397.6102352142334,-0.18677420914173126,1037.3778533935547,394.2845320701599,-0.17692086100578308,1040.2712631225586,400.11186718940735,-0.1632465273141861
1118.0084609985352,513.4140086174011,0.02302827127277851,1032.7372741699219,486.57580375671387,0.02463397942483425,1034.0177536010742,399.03928399086,-0.011626096442341805,1029.8382568359375,382.92842388153076,-0.026173103600740433,1042.196388244629,380.491840839386,-0.01778874732553959,1044.8723602294922,386.688677072525,-0.012286844663321972
1118.4123229980469,510.6338667869568,0.00599330011755228,1033.9466857910156,473.3421277999878,-0.027325140312314034,1044.8759078979492,380.1287770271301,-0.08487985283136368,1039.6588897705078,364.3257808685303,-0.1079498678445816,1055.2797317504883,361.24372959136963,-0.09549815207719803,1057.7800369262695,367.0158326625824,-0.08570439368486404
1120.0221633911133,506.32988691329956,0.0236198827624321,1035.4050064086914,466.7592465877533,-0.021405139937996864,1047.7494049072266,372.7374994754791,-0.08284063637256622,1047.2079849243164,351.79048776626587,-0.10749372839927673,1060.8057403564453,350.60763359069824,-0.09322057664394379,1062.8094863891602,356.84592604637146,-0.08316165953874588
1119.4950485229492,506.9189643859863,0.03209545835852623,1044.2626190185547,458.7899315357208,-0.0005366423865780234,1054.0785598754883,358.22634100914,-0.04001542553305626,1054.2401504516602,337.05077290534973,-0.06402098387479782,1066.9429779052734,335.09392976760864,-0.05012756213545799,1068.2426834106445,342.5882363319397,-0.04009797051548958
1127.0928955078125,506.7042803764343,-0.010859054513275623,1066.9028091430664,435.77924966812134,-0.03914588689804077,1069.2386627197266,331.4674115180969,-0.09748256951570511,1066.4379501342773,309.00721549987793,-0.12488163262605667,1079.0839004516602,305.5860149860382,-0.11909414827823639,1082.0567321777344,311.8354117870331,-0.10112784057855606
1127.252082824707,503.77254009246826,-0.00011500379332574084,1071.3563919067383,424.6946668624878,-0.032475586980581284,1078.729591369629,323.7039291858673,-0.07998089492321014,1072.5161361694336,305.5529272556305,-0.10691211372613907,1086.9976043701172,302.78971552848816,-0.10007298737764359,1090.5696487426758,309.46484327316284,-0.08320193737745285
1126.7682266235352,503.21635723114014,-0.025194643065333366,1077.8601837158203,424.80677247047424,-0.07446447759866714,1084.1607284545898,314.19728994369507,-0.12774844467639923,1077.8227615356445,296.57170057296753,-0.15860311686992645,1092.733039855957,295.1620280742645,-0.15093904733657837,1096.5846633911133,301.0623300075531,-0.13079029321670532
1128.054542541504,503.32984685897827,-0.028831718489527702,1080.9092330932617,424.4803047180176,-0.04973994940519333,1087.6851654052734,324.55413579940796,-0.08817770332098007,1086.6040420532227,305.40136098861694,-0.11399461328983307,1094.9798583984375,304.2424535751343,-0.11052579432725906,1096.1970520019531,309.7911822795868,-0.09234562516212463
