LEFT_ARM_1_x,LEFT_ARM_1_y,LEFT_ARM_1_z,LEFT_ARM_2_x,LEFT_ARM_2_y,LEFT_ARM_2_z,LEFT_ARM_3_x,LEFT_ARM_3_y,LEFT_ARM_3_z,LEFT_ARM_4_x,LEFT_ARM_4_y,LEFT_ARM_4_z,LEFT_ARM_5_x,LEFT_ARM_5_y,LEFT_ARM_5_z,LEFT_ARM_6_x,LEFT_ARM_6_y,LEFT_ARM_6_z
1248.6405944824219,524.6500933170319,-0.06999292224645615,1351.3604736328125,567.4319171905518,-0.18237744271755219,1363.5189056396484,479.4362246990204,-0.2892054319381714,1367.047462463379,462.6289129257202,-0.3113308846950531,1357.892074584961,455.9157085418701,-0.2973231077194214,1354.5966339111328,461.17382526397705,-0.28772175312042236
1247.8240585327148,519.3977057933807,-0.06845501065254211,1355.9222030639648,530.6638205051422,-0.17091108858585358,1356.8750381469727,433.68056058883667,-0.2658087909221649,1357.3455047607422,412.78321266174316,-0.28759652376174927,1348.187026977539,407.9732286930084,-0.2731878161430359,1345.4730606079102,415.33495903015137,-0.2639502286911011
1245.4364776611328,518.895628452301,-0.061451587826013565,1352.2877883911133,506.6149628162384,-0.16153162717819214,1358.5007858276367,428.3806014060974,-0.2574116587638855,1357.7648162841797,405.6495237350464,-0.2785346210002899,1350.5442810058594,400.09628891944885,-0.2670101225376129,1348.611946105957,407.45309472084045,-0.2566564083099365
1245.230598449707,517.7159285545349,-0.052191171795129776,1337.757568359375,486.0173034667969,-0.1285000592470169,1347.6876068115234,399.12805438041687,-0.18806448578834534,1347.239112854004,376.15145802497864,-0.20680265128612518,1339.7631454467773,371.06228828430176,-0.19609926640987396,1339.284782409668,378.6018490791321,-0.187965527176857
1241.5044021606445,513.9105176925659,-0.030708009377121925,1332.4980926513672,482.32988834381104,-0.10726697742938995,1338.97705078125,394.07493352890015,-0.165537491440773,1340.6071472167969,374.9439489841461,-0.18290597200393677,1334.487075805664,370.87373971939087,-0.17473281919956207,1332.5337982177734,376.7287874221802,-0.1662805676460266
1244.1618347167969,513.6752986907959,-0.003988252952694893,1332.8231048583984,466.08323335647583,-0.06296928972005844,1335.8292388916016,369.97557520866394,-0.09770509600639343,1336.860237121582,352.4897074699402,-0.11171110719442368,1327.932243347168,347.1044862270355,-0.10395082086324692,1325.9320449829102,353.2234311103821,-0.0981125608086586
1242.1221542358398,506.63501501083374,-0.07135545462369919,1295.2306365966797,443.89089345932007,-0.13973794877529144,1308.6301803588867,332.82854676246643,-0.18578281998634338,1312.551040649414,313.5847806930542,-0.2080710232257843,1302.0624160766602,308.79658699035645,-0.20472688972949982,1297.642936706543,313.27385902404785,-0.18905846774578094
1242.3399353027344,507.56266236305237,-0.04366922751069069,1295.0286483764648,433.52651596069336,-0.10075581818819046,1304.2204284667969,334.6626627445221,-0.13731041550636292,1306.4855575561523,316.66531920433044,-0.1562347114086151,1301.0224914550781,313.23140501976013,-0.15541400015354156,1298.2283020019531,317.33689069747925,-0.14120689034461975
1242.6139068603516,503.388329744339,-0.06156464293599129,1285.1362609863281,418.8450264930725,-0.13380901515483856,1285.5529403686523,319.2273008823395,-0.1718662530183792,1288.4318161010742,301.57766819000244,-0.19417443871498108,1279.507827758789,297.5995123386383,-0.19206012785434723,1275.911636352539,301.62665605545044,-0.17534895241260529
1235.3224182128906,502.15729236602783,-0.07941810041666031,1275.3353118896484,421.71043038368225,-0.13270390033721924,1281.104965209961,324.2086136341095,-0.1616975963115692,1282.035140991211,320.57520747184753,-0.18092432618141174,1278.2100677490234,316.95741176605225,-0.18323339521884918,1276.2257766723633,316.359965801239,-0.16639156639575958
