RIGHT_ARM_1_x,RIGHT_ARM_1_y,RIGHT_ARM_2_x,RIGHT_ARM_2_y,RIGHT_ARM_3_x,RIGHT_ARM_3_y,RIGHT_ARM_4_x,RIGHT_ARM_4_y,RIGHT_ARM_5_x,RIGHT_ARM_5_y,RIGHT_ARM_6_x,RIGHT_ARM_6_y
1.0,0.0130527497986337,0.0,0.0,0.3309336700831725,0.950583385683934,0.5909465043195286,1.0,0.6470117802899658,0.9564623385464336,0.554976289641507,0.9294925638618508
1.0,0.0,0.0,0.0964232365265933,0.3403158658107491,0.9413239741040624,0.6033520453385619,1.0,0.648293089092423,0.945805291765632,0.5589763906422067,0.918998110603167
1.0,0.0,0.0,0.4164731382566961,0.3817005148522119,0.9655022367809918,0.6675768828596212,1.0,0.7331569118679714,0.9687694037695253,0.6100569434521151,0.9574775303330312
1.0,0.0,0.0,0.4335740504912546,0.3357355804577724,0.9482895789783596,0.5887988495067564,1.0,0.683543260646504,0.9635095700489256,0.575034943000491,0.9520878854891276
1.0,0.0,0.0,0.4532687295072177,0.3636982725707295,0.9739887684197798,0.7270692919643793,1.0,0.7715601405630313,0.9685388967130548,0.6292720175158367,0.9593198597676432
1.0,0.908836380361044,0.0212155709338442,1.0,0.0762051145770124,0.2088714499252615,0.0,0.0392917097849838,0.1447550028310581,0.0,0.1854743427219097,0.0650586409106583
1.0,1.0,0.0878280444609507,0.8947293965278557,0.033418184782903,0.1668357870072205,0.0,0.0165729528159293,0.1197798240766755,0.0,0.1496299450126361,0.0489399130223839
0.6997449332325285,0.0,0.0,0.5008067100691532,0.4295330248211974,0.9587929951302364,0.8971407221302047,1.0,1.0,0.9833072625310508,0.7889065078800039,0.9720593118465186
0.3106551328745374,0.0,0.0,0.5180359261946579,0.5283013185267114,0.9546494517491816,0.9219274713501724,1.0,1.0,0.976964921441116,0.8245836712654121,0.9633278858607572
1.0,0.3398249677086289,0.150042833120049,1.0,0.0702093006038941,0.2336245842330062,0.0,0.096775500057671,0.1647356509047835,0.0,0.1963224329212188,0.0574523729792034
1.0,0.0,0.0,0.3842796863794467,0.4387806280173416,0.9476811091982876,0.7022167733306749,1.0,0.7813363406521832,0.9660662894967506,0.6855117819244112,0.949112174385184
1.0,0.0,0.0,0.4049817857248918,0.402065935354427,0.9631837365001542,0.7296956629362794,1.0,0.7760057714605801,0.9663741218706589,0.6732512995557408,0.9527179526098886
0.0,0.0,0.1508161600239732,0.5128609304560638,0.5817797339223968,0.9531849965241452,0.9662084034048756,1.0,1.0,0.9811990359515276,0.828712774204052,0.9688673864888184
1.0,1.0,0.0931429013107911,0.627607989672173,0.0721774064319785,0.1343861037992468,0.0,0.0200643005311035,0.1883124105700329,0.0,0.256023738648639,0.04534505807492
1.0,0.0,0.0,0.3676622278751965,0.4132263188986287,0.9445939552811796,0.6697248818954975,1.0,0.7801532456868293,0.953759626645157,0.6741978681421873,0.9355451027229924
