RIGHT_LEG_1_x,RIGHT_LEG_1_y,RIGHT_LEG_2_x,RIGHT_LEG_2_y,RIGHT_LEG_3_x,RIGHT_LEG_3_y,RIGHT_LEG_4_x,RIGHT_LEG_4_y,RIGHT_LEG_5_x,RIGHT_LEG_5_y
1.0,0.6982856583371829,0.2734895550127013,1.0,0.2006444930488488,0.2186487817863054,0.2731139473449281,0.1199424167230158,0.0,0.0
1.0,0.6981294388051317,0.2791812280234488,1.0,0.1733174066391715,0.2318968328238954,0.2362878427131338,0.1358403607510876,0.0,0.0
1.0,0.5901642292468335,0.3724712807041108,1.0,0.2283679901542767,0.2411203719335007,0.3072149909882894,0.1362330014404649,0.0,0.0
1.0,0.6352318632342138,0.3185424080944214,1.0,0.1442887315063093,0.2102217456650107,0.2057185301752443,0.1070780620610571,0.0,0.0
1.0,0.4725018830329295,0.3870363065088356,1.0,0.1985397859368256,0.140087007450425,0.2357489810909511,0.0,0.0,0.0184846202384328
1.0,0.0,0.204287422965065,0.2681587404386295,0.4312619322527886,0.8126714137727883,0.5979310173275485,0.8997810097654947,0.0,1.0
1.0,0.0,0.1954851042669026,0.2698894096877957,0.4248130902484021,0.8094308863194066,0.5850399006305311,0.8952930239659146,0.0,1.0
1.0,0.4840857806110815,0.3937871030633902,1.0,0.2661807510693519,0.1630580912734238,0.2708580343356727,0.0526074301660366,0.0,0.0
1.0,0.351814544241485,0.455237881897433,1.0,0.2021741923369602,0.1938580311740483,0.2381048070514108,0.0563494486913147,0.0,0.0
1.0,0.0,0.2073715861492334,0.2280302447279018,0.3820970309447438,0.7975034987082817,0.5594464275664686,0.8797927112670255,0.0,1.0
1.0,0.6574707380998174,0.3904216906979764,1.0,0.1446434730174262,0.2258101210431517,0.1940834074609404,0.1221543697427313,0.0,0.0
1.0,0.6070396474199402,0.3090399650114295,1.0,0.1894386672780364,0.2291520047765035,0.2548747999055039,0.1346414477461969,0.0,0.0
1.0,0.1933162083763625,0.5830098792646163,1.0,0.2360559439151681,0.239661528585866,0.3174761825676022,0.0,0.0,0.1490223919914763
1.0,0.0,0.2463966084755077,0.3002343392713107,0.4316904345958614,0.813397613821542,0.6067295659823333,0.8941825576052207,0.0,1.0
1.0,0.7405346367366638,0.4504040528140916,1.0,0.1590705180354433,0.2493289886555634,0.1669919676447833,0.144060262289806,0.0,0.0
1.0,0.5339982513620396,0.376322540953775,1.0,0.2372768843123784,0.2365269312026086,0.3142804011171613,0.1372182966026018,0.0,0.0
